mesocosm,depth_cm,depth_abstract,type,olivine_size,Oltreat,plant,plant_yesno,Al_ppm,Ba_ppm,Co_ppm,Cr_ppm,Fe_ppm,Mg_ppm,Mn_ppm,Ni_ppm,Sr_ppm,Zn_ppm
28,-10,middle,mesocosm,coarse,ol_yes,Barley,plant_yes,18575.3899633444,245.973520185234,7.31870643559657,41.0097086542518,10012.6185694916,1159.03685001535,212.410221495771,6.38652211611716,69.8737238675318,47.9736019092681
28,-18,bottom,mesocosm,coarse,ol_yes,Barley,plant_yes,13732.1323331169,215.417173560766,6.87242628652576,55.9253135260898,10150.3122391693,1145.36253537372,189.89312959827,8.36664872579373,62.1921045352053,49.0499687384595
29,-2,surface,mesocosm,coarse,ol_yes,Barley,plant_yes,27364.4421424054,205.965190862732,27.1997260628647,315.450666033488,20601.7992143882,77319.6016355397,412.541212832676,457.464497083831,71.4820925922948,53.6563899532958
29,-10,middle,mesocosm,coarse,ol_yes,Barley,plant_yes,18791.6243936008,231.655033557846,7.22311732234042,19.4911400422207,10666.0140106369,1341.72765237694,211.261724863122,6.82717178908503,76.2128887122341,62.2234684522351
29,-16,bottom,mesocosm,coarse,ol_yes,Barley,plant_yes,17708.2370855854,238.951798333992,7.6611479201581,53.7966358883399,10655.4606648178,1166.74623182522,220.769461616234,6.71614023010605,67.9438871480107,50.6835508175894
30,-2,surface,mesocosm,none,ol_no,Wheat,plant_yes,16244.8550609187,235.64355463253,7.61516143092369,43.1683595572289,12668.8188698591,1145.01120925271,234.174057626375,6.91363392090381,63.705838165516,56.0835571783693
30,-10,middle,mesocosm,none,ol_no,Wheat,plant_yes,20983.5694331562,238.387819674651,7.06077342834331,21.2786509271457,10391.0770581951,1250.90990553142,195.089808502526,5.97444865378475,73.5207201357518,55.4129957321799
30,-16,bottom,mesocosm,none,ol_no,Wheat,plant_yes,19183.9446577911,235.878941597194,7.34559543607214,25.9075444846359,10464.0362166218,1199.19411869055,194.68471851886,6.32080172005975,68.7551202867352,59.4876843784368
31,-2,surface,mesocosm,none,ol_no,Barley,plant_yes,18846.7970569572,251.181425080452,8.27754587952128,26.1783491080452,12573.4056668525,1927.78382655404,267.879742489215,8.21550012696388,74.4642276059501,65.3667369317689
31,-10,middle,mesocosm,none,ol_no,Barley,plant_yes,19520.4354845594,251.523235604914,7.17967292350598,20.7899485913015,9739.17461373099,1212.74154404682,191.804875797167,5.83709735616314,61.2702883000355,45.48522811178
31,-18,bottom,mesocosm,none,ol_no,Barley,plant_yes,30036.5844475631,272.99378269729,8.04461974738929,24.3124001212822,11233.5993131386,1696.50144204802,255.781860899655,6.53900039089102,87.8964445481056,54.2506497701433
32,-2,surface,mesocosm,none,ol_no,Wheat,plant_yes,17995.9782101196,238.444039994067,7.5986451963085,22.7511734564931,11642.9335992041,1210.81390289955,236.663874707169,6.52713032406049,77.8824418678026,62.7153449052558
32,-10,middle,mesocosm,none,ol_no,Wheat,plant_yes,16649.5998103106,255.264324090665,7.74509107306917,27.0574315436535,10903.4853665243,988.905771757899,207.407491648919,6.59807783688186,68.0593178885217,52.2138061970878
32,-18,bottom,mesocosm,none,ol_no,Wheat,plant_yes,16174.6369417575,237.068272844459,7.50205900053404,68.3069655397196,10038.0620019319,826.259160373676,193.871998832824,5.73490397415277,63.8917310342369,50.0799611589207
33,-2,surface,mesocosm,none,ol_no,Wheat,plant_yes,10099.8299988009,236.829439176781,7.90271240834433,49.4428101015831,11105.3482869324,761.049313891816,218.801589665447,7.01119604030528,58.818150054092,54.3366124643629
33,-10,middle,mesocosm,none,ol_no,Wheat,plant_yes,20802.047160683,232.806482511258,6.87798555036424,41.485964015894,10358.2743741382,483.198141609768,183.607265794278,5.89244112023244,59.957183453347,49.0393854516652
33,-18,bottom,mesocosm,none,ol_no,Wheat,plant_yes,10808.0928759224,251.562307728,8.4688829007,50.960999576,10765.0608040153,709.189642673397,212.214080485204,7.2345087381891,65.7834280165591,53.583999583932
34,-2,surface,mesocosm,none,ol_no,Barley,plant_yes,9909.37202096175,221.568225992021,6.38830305920878,43.3514903351064,9125.98256196561,483.568815693457,168.463485254958,5.28991348784394,57.6250334455592,45.7642231494713
34,-10,middle,mesocosm,none,ol_no,Barley,plant_yes,7498.80476909205,216.822047194993,6.56932047170619,44.1226476376811,9840.39539776778,463.593820479347,171.131782738695,5.62739888036701,54.6185654722832,56.2885593910427
34,-18,bottom,mesocosm,none,ol_no,Barley,plant_yes,11123.5184806113,233.162791877578,6.88490679377911,45.2363418589488,11223.8340353408,889.530279531775,219.301167532746,8.38102716952938,61.8444651256014,59.304239491766
35,-2,surface,mesocosm,coarse,ol_yes,Wheat,plant_yes,29319.4819847074,193.37862375302,36.4012497825839,565.666942425503,23202.6533473029,111479.469067021,459.574544575504,668.771616107501,81.9692784669208,48.4197202536719
